"dissMeasure","clustMethod","k","ASW","CH","clusteringResult.545a22eafd19ec4943e33996","clusteringResult.545a37d1fd19ec4943e365ad","clusteringResult.545a37d8fd19ec4943e36647","clusteringResult.545a37e6fd19ec4943e36807","clusteringResult.545a37fcfd19ec4943e36bc1","clusteringResult.545a382dfd19ec4943e3747d","clusteringResult.545a3895fd19ec4943e38910","clusteringResult.545a38ebfd19ec4943e38ec5","clusteringResult.545a3910fd19ec4943e390af","clusteringResult.545a3974fd19ec4943e39daf","clusteringResult.545a3a29fd19ec4943e3c91d","clusteringResult.545a3a75fd19ec4943e3d63c","clusteringResult.545a3abcfd19ec4943e3de1f","clusteringResult.56152346334cf1dc03a2d0e6","clusteringResult.5615239c334cf1dc03a2e646","clusteringResult.561523ce334cf1dc03a2f363","clusteringResult.561523d9334cf1dc03a2f6ff","clusteringResult.56152412334cf1dc03a30d55","clusteringResult.56152437334cf1dc03a31b65","clusteringResult.56152463334cf1dc03a332aa","clusteringResult.56152488334cf1dc03a34151","clusteringResult.561524b0334cf1dc03a34e06","clusteringResult.561524cb334cf1dc03a35a3b","clusteringResult.561524e9334cf1dc03a3675d","clusteringResult.56152503334cf1dc03a37144","clusteringResult.5615254e334cf1dc03a397cd","clusteringResult.56152560334cf1dc03a39fa3","clusteringResult.56152562334cf1dc03a3a0bc","clusteringResult.56152591334cf1dc03a3b7e9","clusteringResult.561525d6334cf1dc03a3d877","clusteringResult.56152fb1334cf1dc03a3fb18","clusteringResult.5617c5c38924e2483a07c45d","clusteringResult.5617c6cb8924e2483a07f182","clusteringResult.5617c6e58924e2483a07fa10","clusteringResult.5617c71e8924e2483a080b78","clusteringResult.5617c73a8924e2483a08135f","clusteringResult.5617c7558924e2483a081b8a","clusteringResult.5617c7818924e2483a0825bd","clusteringResult.5617c78d8924e2483a0829b6","clusteringResult.5617c7a58924e2483a08315c","clusteringResult.5617c7ea8924e2483a084b95","clusteringResult.5617c81b8924e2483a08628b","clusteringResult.5617c81f8924e2483a086427","clusteringResult.5617c8218924e2483a086528","clusteringResult.5617c83e8924e2483a086f87","clusteringResult.5617c8598924e2483a087b63","clusteringResult.5617c8618924e2483a0880a9","clusteringResult.5617c87e8924e2483a088ef7","clusteringResult.5617c8858924e2483a0891b8","clusteringResult.5617c8a68924e2483a08a1a3","clusteringResult.5617c8be8924e2483a08acc5","clusteringResult.5617c8c68924e2483a08b040","clusteringResult.561cf3818924e2483a08f28a","clusteringResult.56d48107e87d2bca77555623","clusteringResult.56d5b8ade87d2bca775562a2","PH"
"FRECHET","PAM",2,0.656501392455191,92.7209823750851,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0.656299669874875
"FRECHET","PAM",3,0.55267805261455,66.9460832062692,1,2,1,1,2,3,2,1,3,1,3,3,1,3,1,3,1,3,3,2,2,2,1,2,3,3,1,2,1,1,1,1,3,1,1,2,3,1,2,1,2,3,1,3,1,3,1,3,1,1,1,2,1,1,2,0.473500050684663
"FRECHET","PAM",4,0.629171376460323,227.847761067227,1,2,1,1,2,3,2,1,3,1,3,3,1,3,1,3,1,3,3,2,2,4,1,2,3,3,1,2,1,1,1,1,3,1,1,2,3,1,2,1,2,3,1,3,1,3,1,3,1,1,1,4,1,1,4,0.532529394005755
"FRECHET","PAM",5,0.589630553895375,220.091932224531,1,2,3,1,2,4,2,3,4,3,4,4,1,4,3,4,1,4,4,2,2,5,3,2,4,4,1,2,3,3,3,1,4,1,1,2,4,1,2,1,2,4,1,4,1,4,1,4,1,1,1,5,1,3,5,0.445024066103417
"FRECHET","PAM",6,0.616532454207076,431.720909259972,1,2,3,1,2,4,5,3,4,3,4,4,1,4,3,4,1,4,4,2,5,5,3,2,4,4,1,2,3,3,3,1,4,1,1,2,4,1,2,1,2,4,1,4,1,4,1,4,1,1,1,6,1,3,6,0.447370276685073
"FRECHET","PAM",7,0.596441143719746,440.234353894931,1,2,1,1,2,3,4,5,3,5,3,3,1,3,5,3,1,3,3,2,4,4,5,2,3,3,1,2,5,5,5,1,3,6,1,2,3,6,2,6,2,3,1,3,6,3,1,6,1,1,1,7,6,5,7,0.399630804056486
"FRECHET","PAM",8,0.578583434892366,589.216001862242,1,2,1,1,3,4,3,5,4,5,4,4,1,4,5,4,1,4,4,2,3,6,5,2,4,4,1,2,5,5,5,1,4,7,1,2,4,7,2,7,2,4,1,4,7,4,1,7,1,1,1,8,7,5,8,0.397008333766114
"FRECHET","hclust",2,0.656501392455191,92.7209823750851,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0.656299669874875
"FRECHET","hclust",3,0.661197984853773,137.391108812283,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,3,0.698537865596054
"FRECHET","hclust",4,0.624775631871686,122.974413864504,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,4,0.697435437380014
"FRECHET","hclust",5,0.63472880618528,306.586602286873,1,2,1,1,2,3,2,1,3,1,3,3,1,3,1,3,1,3,3,2,4,4,1,2,3,3,1,2,1,1,1,1,3,1,1,2,3,1,2,1,2,3,1,3,1,3,1,1,1,1,1,5,1,1,5,0.538190330187922
"FRECHET","hclust",6,0.597029775983809,409.277546689543,1,2,1,1,2,3,2,4,3,4,3,3,1,3,4,3,1,3,3,2,5,5,1,2,3,3,1,2,4,4,4,1,3,1,1,2,3,1,2,1,2,3,1,3,1,3,1,1,1,1,1,6,1,4,6,0.463883025092616
"FRECHET","hclust",7,0.583125390229931,461.962480254404,1,2,1,1,3,4,3,5,4,5,4,4,1,4,5,4,1,4,4,2,6,6,1,2,4,4,1,2,5,5,5,1,4,1,1,3,4,1,2,1,2,4,1,4,1,4,1,1,1,1,1,7,1,5,7,0.455453481994747
"FRECHET","hclust",8,0.565660947849572,577.838194790491,1,2,1,1,3,4,3,5,4,5,4,4,1,4,5,4,1,4,4,2,6,6,1,2,4,4,1,2,5,5,5,1,4,7,1,3,4,7,2,7,2,4,1,4,7,4,1,7,1,1,1,8,7,5,8,0.397630871748194
"DTWARP","PAM",2,0.525608374415502,51.0438151813095,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,0.379285141258559
"DTWARP","PAM",3,0.474992366455102,71.9874301466383,1,1,2,1,1,2,1,2,3,3,1,2,2,1,1,3,1,2,3,1,2,2,2,2,1,1,2,1,3,3,1,2,1,3,2,1,2,2,2,1,1,1,1,2,3,3,1,3,2,2,3,2,2,1,1,0.388948488188583
"DTWARP","PAM",4,0.437578940674631,97.0829776175903,1,1,2,1,1,3,1,2,4,3,1,3,3,2,1,4,1,3,4,2,2,2,3,2,1,1,2,1,3,3,1,3,2,3,2,1,2,3,3,1,1,1,2,2,4,3,2,4,2,2,4,2,2,2,1,0.356908406553421
"DTWARP","PAM",5,0.467197513952668,97.5889105884857,1,1,2,1,1,3,1,2,3,3,1,3,3,2,1,3,1,3,4,2,2,2,3,2,1,1,2,1,3,3,1,3,2,3,2,1,2,3,3,1,1,1,2,2,5,3,2,3,2,2,3,2,2,2,1,0.391661257573387
"DTWARP","PAM",6,0.361444549860977,95.4560589864467,1,1,2,1,1,3,1,2,4,4,1,5,3,2,1,4,1,3,6,2,2,3,5,2,1,1,3,1,5,5,1,5,2,5,2,1,3,5,3,1,1,1,2,3,4,3,2,4,2,3,4,2,3,2,1,0.316213537325593
"DTWARP","PAM",7,0.378981771098063,88.8253960101263,1,1,2,1,1,3,1,2,4,4,1,5,3,2,1,4,1,3,6,2,2,3,5,2,1,1,3,1,5,5,1,5,2,4,2,1,3,5,3,1,1,1,2,3,7,4,2,4,2,3,4,2,3,2,1,0.312920479201677
"DTWARP","PAM",8,0.380430070517747,80.8398582750308,1,1,2,1,1,3,1,2,4,4,1,5,3,2,1,4,1,3,6,2,2,7,5,2,1,1,3,1,5,5,1,5,2,4,2,1,3,5,3,1,1,1,2,3,8,4,2,4,2,3,4,2,3,2,1,0.310810650187905
"DTWARP","hclust",2,0.438256325248255,26.782524411523,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,1,1,2,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,0.332364933389614
"DTWARP","hclust",3,0.444497809621094,62.6544814723246,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,2,1,2,3,2,2,2,2,2,1,1,2,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,2,3,2,2,2,2,2,2,2,2,2,1,0.426018278286947
"DTWARP","hclust",4,0.472153768755949,105.250920193099,1,1,2,1,1,2,1,2,3,3,2,3,2,2,1,3,1,2,4,2,2,2,3,2,1,1,2,1,3,3,1,2,2,3,2,1,2,3,2,1,1,1,2,2,4,3,2,3,2,2,3,2,2,2,1,0.402165067750385
"DTWARP","hclust",5,0.416453647525793,138.787477848363,1,1,2,3,3,2,3,2,4,4,2,4,2,2,1,4,3,2,5,2,2,2,4,2,3,3,2,3,4,4,3,2,2,4,2,3,2,4,2,1,3,3,2,2,5,4,2,4,2,2,4,2,2,2,3,0.397208945436822
"DTWARP","hclust",6,0.420040107686591,194.283814572406,1,1,2,3,3,4,3,2,5,5,2,5,4,2,1,5,3,4,6,2,2,4,5,2,3,3,2,3,5,5,3,4,2,5,2,3,2,5,4,1,3,3,2,2,6,5,2,5,2,2,5,2,2,2,3,0.367798279874773
"DTWARP","hclust",7,0.363653080404615,186.247157015057,1,1,2,3,3,4,3,2,5,5,2,5,4,2,1,5,3,4,6,2,2,7,5,2,3,3,2,3,5,5,3,4,2,5,2,3,2,5,4,1,3,3,2,2,6,5,2,5,2,2,5,2,2,2,3,0.367083189518616
"DTWARP","hclust",8,0.352266025397179,226.036355367155,1,1,2,3,3,4,3,2,5,5,2,5,4,2,1,5,3,4,6,2,2,7,5,2,3,3,2,3,5,5,3,4,2,5,2,3,2,5,4,1,3,3,2,2,8,5,2,5,2,2,5,2,2,2,3,0.367823697008934
