"dissMeasure","clustMethod","k","ASW","CH","clusteringResult.545a22eafd19ec4943e33996","clusteringResult.545a37d1fd19ec4943e365ad","clusteringResult.545a37d8fd19ec4943e36647","clusteringResult.545a37e6fd19ec4943e36807","clusteringResult.545a37fcfd19ec4943e36bc1","clusteringResult.545a382dfd19ec4943e3747d","clusteringResult.545a3895fd19ec4943e38910","clusteringResult.545a38ebfd19ec4943e38ec5","clusteringResult.545a3910fd19ec4943e390af","clusteringResult.545a3974fd19ec4943e39daf","clusteringResult.545a3a29fd19ec4943e3c91d","clusteringResult.545a3a75fd19ec4943e3d63c","clusteringResult.545a3abcfd19ec4943e3de1f","clusteringResult.56152346334cf1dc03a2d0e6","clusteringResult.5615239c334cf1dc03a2e646","clusteringResult.561523ce334cf1dc03a2f363","clusteringResult.561523d9334cf1dc03a2f6ff","clusteringResult.56152412334cf1dc03a30d55","clusteringResult.56152437334cf1dc03a31b65","clusteringResult.56152463334cf1dc03a332aa","clusteringResult.56152488334cf1dc03a34151","clusteringResult.561524b0334cf1dc03a34e06","clusteringResult.561524cb334cf1dc03a35a3b","clusteringResult.561524e9334cf1dc03a3675d","clusteringResult.56152503334cf1dc03a37144","clusteringResult.5615254e334cf1dc03a397cd","clusteringResult.56152560334cf1dc03a39fa3","clusteringResult.56152562334cf1dc03a3a0bc","clusteringResult.56152591334cf1dc03a3b7e9","clusteringResult.561525d6334cf1dc03a3d877","clusteringResult.56152fb1334cf1dc03a3fb18","clusteringResult.5617c5c38924e2483a07c45d","clusteringResult.5617c6cb8924e2483a07f182","clusteringResult.5617c6e58924e2483a07fa10","clusteringResult.5617c71e8924e2483a080b78","clusteringResult.5617c73a8924e2483a08135f","clusteringResult.5617c7558924e2483a081b8a","clusteringResult.5617c7818924e2483a0825bd","clusteringResult.5617c78d8924e2483a0829b6","clusteringResult.5617c7a58924e2483a08315c","clusteringResult.5617c7ea8924e2483a084b95","clusteringResult.5617c81b8924e2483a08628b","clusteringResult.5617c81f8924e2483a086427","clusteringResult.5617c8218924e2483a086528","clusteringResult.5617c83e8924e2483a086f87","clusteringResult.5617c8598924e2483a087b63","clusteringResult.5617c8618924e2483a0880a9","clusteringResult.5617c87e8924e2483a088ef7","clusteringResult.5617c8858924e2483a0891b8","clusteringResult.5617c8a68924e2483a08a1a3","clusteringResult.5617c8be8924e2483a08acc5","clusteringResult.5617c8c68924e2483a08b040","clusteringResult.561cf3818924e2483a08f28a","clusteringResult.56d48107e87d2bca77555623","clusteringResult.56d5b8ade87d2bca775562a2","PH"
"FRECHET","PAM",2,0.657257065753601,92.7988902203268,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0.656470491442469
"FRECHET","PAM",3,0.556604570624104,67.0238725132597,1,2,1,1,2,3,2,1,3,1,3,3,1,3,1,3,1,3,3,2,2,2,1,2,3,3,1,2,1,1,1,1,3,1,1,2,3,1,2,1,2,3,1,3,1,3,1,3,1,1,1,2,1,1,2,0.474134001146544
"FRECHET","PAM",4,0.633194746618962,228.94901528807,1,2,1,1,2,3,2,1,3,1,3,3,1,3,1,3,1,3,3,2,2,4,1,2,3,3,1,2,1,1,1,1,3,1,1,2,3,1,2,1,2,3,1,3,1,3,1,3,1,1,1,4,1,1,4,0.533178461502996
"FRECHET","PAM",5,0.598977795416178,222.959134133933,1,2,3,3,2,4,2,3,4,3,4,4,1,4,3,4,1,4,4,2,2,5,3,2,4,4,1,2,3,3,3,1,4,1,1,2,4,1,2,1,2,4,1,4,1,4,1,1,1,1,1,5,1,3,5,0.441835626480843
"FRECHET","PAM",6,0.624827338634817,445.381584997406,1,2,3,3,2,4,5,3,4,3,4,4,1,4,3,4,1,4,4,2,5,5,3,2,4,4,1,2,3,3,3,1,4,1,1,2,4,1,2,1,2,4,1,4,1,4,1,1,1,1,1,6,1,3,6,0.444338820539795
"FRECHET","PAM",7,0.604057765149004,446.486345108142,1,2,3,1,2,4,5,3,4,3,4,4,1,4,3,4,6,4,4,2,5,5,3,2,4,4,1,2,3,3,3,1,4,6,1,2,4,6,2,6,2,4,1,4,6,4,1,6,1,1,1,7,6,3,7,0.392187422755563
"FRECHET","PAM",8,0.585846474141352,602.633210808277,1,2,3,1,4,5,4,3,5,3,5,5,1,5,3,5,6,5,5,2,4,7,3,2,5,5,1,2,3,3,3,1,5,6,1,2,5,6,2,6,2,5,1,5,6,5,1,6,1,1,1,8,6,3,8,0.389610593256365
"FRECHET","hclust",2,0.657257065753601,92.7988902203268,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0.656470491442469
"FRECHET","hclust",3,0.662138086817513,137.670614087035,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,3,0.698703805053626
"FRECHET","hclust",4,0.625814141644069,123.295101792712,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,4,0.697623342164087
"FRECHET","hclust",5,0.506113926987387,208.3077946928,1,2,3,3,2,1,2,3,1,3,1,1,1,1,3,1,1,1,1,2,4,4,3,2,1,1,1,2,3,3,3,3,1,1,3,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,5,1,3,5,0.527371579749501
"FRECHET","hclust",6,0.484479779749593,184.525408050315,1,2,3,3,4,1,4,3,1,3,1,1,1,1,3,1,1,1,1,2,5,5,3,2,1,1,1,2,3,3,3,3,1,1,3,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,6,1,3,6,0.519897639696733
"FRECHET","hclust",7,0.597196200174755,500.361239126925,1,2,3,3,4,5,4,3,5,3,5,5,1,5,3,5,1,5,5,2,6,6,3,2,5,5,1,2,3,3,3,3,5,1,3,2,1,1,2,1,2,5,1,5,1,5,1,1,1,1,1,7,1,3,7,0.431769810376787
"FRECHET","hclust",8,0.586540981640035,513.407785375869,1,2,3,3,4,5,4,3,5,3,5,5,1,5,3,5,1,5,5,2,6,7,3,2,5,5,1,2,3,3,3,3,5,1,3,2,1,1,2,1,2,5,1,5,1,5,1,1,1,1,1,8,1,3,8,0.431558883494362
"DTWARP","PAM",2,0.742658541705128,722.463603355172,1,2,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,2,2,1,2,2,2,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,0.491440123037175
"DTWARP","PAM",3,0.659121701694185,1131.72451704181,1,2,3,3,1,1,2,2,1,2,1,3,3,1,2,1,3,1,1,2,2,2,2,2,1,1,3,2,2,3,3,2,3,3,2,2,1,2,2,2,2,1,3,1,3,1,2,3,3,2,1,2,3,3,1,0.412313589657062
"DTWARP","PAM",4,0.623227724187872,1163.26034569754,1,2,3,3,1,1,2,2,1,2,1,3,3,1,2,1,3,1,1,2,4,4,2,2,1,1,3,4,2,3,3,2,3,3,2,2,1,2,2,2,2,1,3,1,3,1,2,3,3,2,1,4,3,3,1,0.385313653136927
"DTWARP","PAM",5,0.543799616381798,1837.28088618384,1,2,3,4,4,1,2,2,1,2,4,4,3,4,2,4,3,4,4,2,5,5,2,2,4,4,3,5,2,3,3,2,3,3,2,2,1,2,2,2,2,4,3,4,3,1,2,3,3,2,4,5,3,3,1,0.34898805904428
"DTWARP","PAM",6,0.459454826882684,1631.77299234619,1,2,3,4,4,1,2,2,1,5,4,4,3,4,2,4,3,4,4,5,6,6,5,5,4,4,3,6,2,3,3,2,3,3,2,5,1,5,5,2,5,4,3,4,3,1,2,3,3,5,4,6,3,3,1,0.298524800901917
"DTWARP","PAM",7,0.455171594171285,1746.85621713408,1,2,3,4,5,1,2,2,1,6,4,4,3,5,2,5,3,5,5,6,7,7,6,6,5,4,3,7,2,3,3,2,3,3,2,6,1,6,6,2,6,5,3,5,3,1,2,3,3,6,5,7,3,4,1,0.272052420550759
"DTWARP","PAM",8,0.383272438130534,1524.14702407317,1,2,3,4,5,1,2,2,1,6,4,4,7,5,2,5,3,5,5,6,8,8,6,6,5,4,3,8,2,3,3,2,7,7,2,6,1,6,6,2,6,5,3,5,3,1,2,7,7,6,5,8,7,4,1,0.239910329104665
"DTWARP","hclust",2,0.742658541705128,722.463603355172,1,2,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,2,2,1,2,2,2,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,0.491440123037175
"DTWARP","hclust",3,0.610891779451956,993.590250979597,1,2,3,3,3,1,2,2,1,2,3,3,3,3,2,3,3,3,3,2,2,2,2,2,3,3,3,2,2,3,3,2,3,3,2,2,1,2,2,2,2,3,3,1,3,1,2,3,3,2,3,2,3,3,1,0.446817000449829
