"dissMeasure","clustMethod","k","clusteringResult.545a22eafd19ec4943e33996","clusteringResult.545a37d1fd19ec4943e365ad","clusteringResult.545a37d8fd19ec4943e36647","clusteringResult.545a37e6fd19ec4943e36807","clusteringResult.545a37fcfd19ec4943e36bc1","clusteringResult.545a382dfd19ec4943e3747d","clusteringResult.545a3895fd19ec4943e38910","clusteringResult.545a38ebfd19ec4943e38ec5","clusteringResult.545a3910fd19ec4943e390af","clusteringResult.545a3974fd19ec4943e39daf","clusteringResult.545a3a29fd19ec4943e3c91d","clusteringResult.545a3a75fd19ec4943e3d63c","clusteringResult.545a3abcfd19ec4943e3de1f","clusteringResult.56152346334cf1dc03a2d0e6","clusteringResult.5615239c334cf1dc03a2e646","clusteringResult.561523ce334cf1dc03a2f363","clusteringResult.561523d9334cf1dc03a2f6ff","clusteringResult.56152412334cf1dc03a30d55","clusteringResult.56152437334cf1dc03a31b65","clusteringResult.56152463334cf1dc03a332aa","clusteringResult.56152488334cf1dc03a34151","clusteringResult.561524b0334cf1dc03a34e06","clusteringResult.561524cb334cf1dc03a35a3b","clusteringResult.561524e9334cf1dc03a3675d","clusteringResult.56152503334cf1dc03a37144","clusteringResult.5615254e334cf1dc03a397cd","clusteringResult.56152560334cf1dc03a39fa3","clusteringResult.56152562334cf1dc03a3a0bc","clusteringResult.56152591334cf1dc03a3b7e9","clusteringResult.561525d6334cf1dc03a3d877","clusteringResult.56152fb1334cf1dc03a3fb18","clusteringResult.5617c5c38924e2483a07c45d","clusteringResult.5617c6cb8924e2483a07f182","clusteringResult.5617c6e58924e2483a07fa10","clusteringResult.5617c71e8924e2483a080b78","clusteringResult.5617c73a8924e2483a08135f","clusteringResult.5617c7558924e2483a081b8a","clusteringResult.5617c7818924e2483a0825bd","clusteringResult.5617c78d8924e2483a0829b6","clusteringResult.5617c7a58924e2483a08315c","clusteringResult.5617c7ea8924e2483a084b95","clusteringResult.5617c81b8924e2483a08628b","clusteringResult.5617c81f8924e2483a086427","clusteringResult.5617c8218924e2483a086528","clusteringResult.5617c83e8924e2483a086f87","clusteringResult.5617c8598924e2483a087b63","clusteringResult.5617c8618924e2483a0880a9","clusteringResult.5617c87e8924e2483a088ef7","clusteringResult.5617c8858924e2483a0891b8","clusteringResult.5617c8a68924e2483a08a1a3","clusteringResult.5617c8be8924e2483a08acc5","clusteringResult.5617c8c68924e2483a08b040","clusteringResult.561cf3818924e2483a08f28a","clusteringResult.56d48107e87d2bca77555623","clusteringResult.56d5b8ade87d2bca775562a2","ASW","CH","PH"
"FRECHET","PAM",2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0.655771418794643,92.8448846198315,0.656654541024976
"FRECHET","PAM",3,1,2,1,1,2,3,2,1,3,1,3,3,1,3,1,3,1,3,3,2,2,2,1,2,3,3,1,2,1,1,1,1,3,1,1,2,3,1,2,1,2,3,1,3,1,3,1,3,1,1,1,2,1,1,2,0.551640697980817,67.1496885105251,0.473960807952409
"FRECHET","PAM",4,1,2,1,1,2,3,2,1,3,1,3,3,1,3,1,3,1,3,3,2,2,4,1,2,3,3,1,2,1,1,1,1,3,1,1,2,3,1,2,1,2,3,1,3,1,3,1,3,1,1,1,4,1,1,4,0.628051464911573,228.930981826615,0.532945773114497
"FRECHET","PAM",5,1,2,3,3,2,4,2,3,4,3,4,4,1,4,3,4,1,4,4,2,2,5,3,2,4,4,1,2,3,3,3,1,4,1,1,2,4,1,2,1,2,4,1,4,1,4,1,1,1,1,1,5,1,3,5,0.584370872490025,221.262414248341,0.440084698663252
"FRECHET","PAM",6,1,2,3,3,2,4,5,3,4,3,4,4,1,4,3,4,1,4,4,2,5,5,3,2,4,4,1,2,3,3,3,1,4,1,1,2,4,1,2,1,2,4,1,4,1,4,1,1,1,1,1,6,1,3,6,0.609130416375898,426.671521683392,0.442444659987998
"FRECHET","PAM",7,1,2,1,1,2,3,4,5,3,5,3,3,1,3,5,3,6,3,3,2,4,4,5,2,3,3,1,2,5,5,5,1,3,6,1,2,3,6,2,6,2,3,1,3,6,3,1,6,1,1,1,7,6,5,7,0.587889198154433,430.998943252269,0.393527402034795
"FRECHET","PAM",8,1,2,1,1,3,4,5,6,4,6,4,4,1,4,6,4,7,4,4,3,5,5,6,3,4,4,1,2,6,6,6,1,4,7,1,3,4,7,2,7,2,4,1,4,7,4,1,7,1,1,1,8,7,6,8,0.560656719722201,439.159028638675,0.383190521291094
"FRECHET","hclust",2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0.655771418794643,92.8448846198315,0.656654541024976
"FRECHET","hclust",3,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,3,0.660068522590393,136.797981433114,0.698744973547416
"FRECHET","hclust",4,1,2,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,4,0.598912874480151,121.907131414092,0.69230143002655
"FRECHET","hclust",5,1,2,3,3,2,1,4,3,1,3,1,1,1,1,3,1,1,1,1,2,4,4,3,2,1,1,1,2,3,3,3,3,1,1,3,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,5,1,3,5,0.493940493169859,201.889064975336,0.522439659586906
"FRECHET","hclust",6,1,2,3,3,2,1,4,3,1,3,1,1,1,1,3,1,1,1,1,2,4,5,3,2,1,1,1,2,3,3,3,3,1,1,3,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,6,1,3,6,0.481274156057008,180.493761796255,0.522147015121052
"FRECHET","hclust",7,1,2,3,3,2,4,5,3,4,3,4,4,1,4,3,4,1,4,4,2,5,6,3,2,4,4,1,2,3,3,3,3,4,1,3,2,1,1,2,1,2,4,1,4,1,4,1,1,1,1,1,7,1,3,7,0.588359796319992,480.894170382757,0.433414899882902
"FRECHET","hclust",8,1,2,3,3,4,5,6,3,5,3,5,5,1,5,3,5,1,5,5,4,6,7,3,4,5,5,1,2,3,3,3,3,5,1,3,4,1,1,2,1,2,5,1,5,1,5,1,1,1,1,1,8,1,3,8,0.563911739059557,501.985699097728,0.422978339690841
"FRECHET","diana",2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0.706614649758769,86.6080478269132,0.772064640290024
"FRECHET","diana",3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,0.615371101785383,59.661659047007,0.773924309227543
"FRECHET","diana",4,1,2,1,1,2,1,3,2,1,2,1,1,1,1,2,1,1,1,1,2,3,3,2,2,1,1,1,2,2,2,2,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,2,4,0.542258551499341,142.653004467534,0.57815338162704
"FRECHET","diana",5,1,2,1,1,2,1,3,4,1,4,1,1,1,1,4,1,1,1,1,2,3,3,4,2,1,1,1,2,4,4,4,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,5,1,4,5,0.448212853826423,160.965551173402,0.556438073124084
"FRECHET","diana",6,1,2,1,1,2,1,3,4,1,4,1,1,1,1,4,1,1,1,1,2,3,5,4,2,1,1,1,2,4,4,4,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,6,1,4,6,0.436312860510368,140.381148568508,0.555985945111351
"FRECHET","diana",7,1,2,1,1,2,3,4,5,3,5,3,3,1,3,5,3,1,3,3,2,4,6,5,2,3,3,1,2,5,5,5,1,3,1,1,2,3,1,2,1,2,3,1,3,1,3,1,3,1,1,1,7,1,5,7,0.598490500719218,487.151593279915,0.453451005091359
"FRECHET","diana",8,1,2,1,1,3,4,5,6,4,6,4,4,1,4,6,4,1,4,4,3,5,7,6,3,4,4,1,2,6,6,6,1,4,1,1,3,4,1,2,1,2,4,1,4,1,4,1,4,1,1,1,8,1,6,8,0.580427155610645,510.082513348656,0.442993408110504
"DTWARP","PAM",2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0.709478825833859,67.6646097588339,0.626452456430584
"DTWARP","PAM",3,1,2,1,1,1,1,3,1,1,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,3,2,1,2,3,2,2,2,1,3,2,2,3,2,2,1,2,3,2,2,2,2,2,2,1,1,1,0.601070240759114,153.951481954568,0.502581044257668
"DTWARP","PAM",4,1,2,1,1,1,1,3,1,1,4,1,1,1,1,2,4,1,1,2,4,4,4,2,4,1,4,4,4,3,4,1,2,3,4,4,4,1,3,4,4,2,2,4,1,4,3,4,4,4,4,4,4,1,1,1,0.587951810420076,181.999333361512,0.478400298167071
"DTWARP","PAM",5,1,2,1,1,1,1,3,1,1,4,1,1,1,1,2,4,1,1,2,5,5,4,2,4,1,4,4,4,3,5,1,2,3,4,4,5,1,3,4,4,2,2,4,1,5,3,5,5,4,4,4,4,1,1,1,0.528017664227399,147.036871792556,0.424700204050741
"DTWARP","PAM",6,1,2,1,1,1,1,3,1,1,4,1,1,1,1,2,2,1,1,2,5,5,4,2,4,1,4,4,4,3,5,1,2,3,2,4,5,1,3,4,4,6,2,4,1,5,3,2,5,4,4,2,4,1,1,1,0.570638539599057,185.977911329338,0.428635254669157
"DTWARP","PAM",7,1,2,1,1,1,1,3,1,1,4,1,1,1,1,2,2,1,1,2,5,5,4,2,4,1,4,4,1,3,5,1,6,3,2,2,5,1,3,4,4,7,2,4,1,5,3,2,5,4,4,2,2,1,1,1,0.581564709614067,266.13477123596,0.44085079660748
"DTWARP","PAM",8,1,2,1,1,1,1,3,4,1,5,1,1,1,1,2,2,1,1,2,6,6,4,2,5,1,5,5,4,3,6,1,7,3,2,5,6,1,3,5,5,8,2,5,1,6,3,2,6,4,5,2,5,1,1,1,0.562182225549581,312.348428343039,0.407353190885697
"DTWARP","hclust",2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,2,2,1,2,2,1,2,2,1,1,2,1,2,1,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,1,1,0.502195705679452,32.7053248568783,0.313539272556103
"DTWARP","hclust",3,1,2,1,1,1,1,3,1,1,2,1,1,1,1,2,2,1,1,2,2,2,1,2,2,1,2,2,1,3,2,1,2,3,2,2,2,1,3,2,2,2,2,2,1,2,3,2,2,2,2,2,2,1,1,1,0.628630658460897,189.235135960797,0.512577713173257
"DTWARP","hclust",4,1,2,1,1,1,1,3,1,1,4,1,1,1,1,2,2,1,1,2,4,4,1,2,4,1,4,4,1,3,4,1,2,3,4,4,4,1,3,4,4,2,2,4,1,4,3,4,4,4,4,4,4,1,1,1,0.62770183924673,238.940588212904,0.488903578577208
