"dissMeasure","clustMethod","k","clusteringResult.545a22eafd19ec4943e33996","clusteringResult.545a37d1fd19ec4943e365ad","clusteringResult.545a37d8fd19ec4943e36647","clusteringResult.545a37e6fd19ec4943e36807","clusteringResult.545a37fcfd19ec4943e36bc1","clusteringResult.545a382dfd19ec4943e3747d","clusteringResult.545a3895fd19ec4943e38910","clusteringResult.545a38ebfd19ec4943e38ec5","clusteringResult.545a3910fd19ec4943e390af","clusteringResult.545a3974fd19ec4943e39daf","clusteringResult.545a3a29fd19ec4943e3c91d","clusteringResult.545a3a75fd19ec4943e3d63c","clusteringResult.545a3abcfd19ec4943e3de1f","clusteringResult.56152346334cf1dc03a2d0e6","clusteringResult.5615239c334cf1dc03a2e646","clusteringResult.561523ce334cf1dc03a2f363","clusteringResult.561523d9334cf1dc03a2f6ff","clusteringResult.56152412334cf1dc03a30d55","clusteringResult.56152437334cf1dc03a31b65","clusteringResult.56152463334cf1dc03a332aa","clusteringResult.56152488334cf1dc03a34151","clusteringResult.561524b0334cf1dc03a34e06","clusteringResult.561524cb334cf1dc03a35a3b","clusteringResult.561524e9334cf1dc03a3675d","clusteringResult.56152503334cf1dc03a37144","clusteringResult.5615254e334cf1dc03a397cd","clusteringResult.56152560334cf1dc03a39fa3","clusteringResult.56152562334cf1dc03a3a0bc","clusteringResult.56152591334cf1dc03a3b7e9","clusteringResult.561525d6334cf1dc03a3d877","clusteringResult.56152fb1334cf1dc03a3fb18","clusteringResult.5617c5c38924e2483a07c45d","clusteringResult.5617c6cb8924e2483a07f182","clusteringResult.5617c6e58924e2483a07fa10","clusteringResult.5617c71e8924e2483a080b78","clusteringResult.5617c73a8924e2483a08135f","clusteringResult.5617c7558924e2483a081b8a","clusteringResult.5617c7818924e2483a0825bd","clusteringResult.5617c78d8924e2483a0829b6","clusteringResult.5617c7a58924e2483a08315c","clusteringResult.5617c7ea8924e2483a084b95","clusteringResult.5617c81b8924e2483a08628b","clusteringResult.5617c81f8924e2483a086427","clusteringResult.5617c8218924e2483a086528","clusteringResult.5617c83e8924e2483a086f87","clusteringResult.5617c8598924e2483a087b63","clusteringResult.5617c8618924e2483a0880a9","clusteringResult.5617c87e8924e2483a088ef7","clusteringResult.5617c8858924e2483a0891b8","clusteringResult.5617c8a68924e2483a08a1a3","clusteringResult.5617c8be8924e2483a08acc5","clusteringResult.5617c8c68924e2483a08b040","clusteringResult.561cf3818924e2483a08f28a","clusteringResult.56d48107e87d2bca77555623","clusteringResult.56d5b8ade87d2bca775562a2","ASW","CH","PH"
"FRECHET","PAM",2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0.656687639674434,92.9277476679333,0.656849331864715
"FRECHET","PAM",3,1,2,1,1,2,3,2,1,3,1,3,3,1,3,1,3,1,3,3,2,2,2,1,2,3,3,1,2,1,1,1,1,3,1,1,2,3,1,2,1,2,3,1,3,1,3,1,3,1,1,1,2,1,1,2,0.554087340577894,67.2248444653078,0.474516604322144
"FRECHET","PAM",4,1,2,1,1,2,3,2,1,3,1,3,3,1,3,1,3,1,3,3,2,2,4,1,2,3,3,1,2,1,1,1,1,3,1,1,2,3,1,2,1,2,3,1,3,1,3,1,3,1,1,1,4,1,1,4,0.630775424334405,229.907181977556,0.53350712136827
"FRECHET","PAM",5,1,2,3,1,2,4,2,3,4,3,4,4,1,4,3,4,1,4,4,2,2,5,3,2,4,4,1,2,3,3,3,1,4,1,1,2,4,1,2,1,2,4,1,4,1,4,1,4,1,1,1,5,1,3,5,0.587641108473019,221.440919229562,0.445168076709304
"FRECHET","PAM",6,1,2,3,1,2,4,5,3,4,3,4,4,1,4,3,4,1,4,4,2,5,5,3,2,4,4,1,2,3,3,3,1,4,1,1,2,4,1,2,1,2,4,1,4,1,4,1,4,1,1,1,6,1,3,6,0.61351275559379,427.443084630381,0.447409751005474
"FRECHET","PAM",7,1,2,1,1,2,3,4,5,3,5,3,3,1,3,5,3,1,3,3,2,4,4,5,2,3,3,1,2,5,5,5,1,3,6,1,2,3,6,2,6,2,3,1,3,6,3,1,6,1,1,1,7,6,5,7,0.597068046044254,437.012282891786,0.399928379143531
"FRECHET","PAM",8,1,2,1,1,3,4,3,5,4,5,4,4,1,4,5,4,1,4,4,2,3,6,5,2,4,4,1,2,5,5,5,1,4,7,1,2,4,7,2,7,2,4,1,4,7,4,1,7,1,1,1,8,7,5,8,0.581110261497349,596.207252161301,0.397425907112749
"FRECHET","hclust",2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0.656687639674434,92.9277476679333,0.656849331864715
"FRECHET","hclust",3,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,3,0.661275587598531,137.053517638556,0.698930548289159
"FRECHET","hclust",4,1,2,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,4,0.600338034059006,122.195396448738,0.692467005736185
"FRECHET","hclust",5,1,2,1,1,2,3,4,1,3,1,3,3,1,3,1,3,1,3,3,2,4,4,1,2,3,3,1,2,1,1,1,1,3,3,1,2,3,3,2,3,2,3,1,3,3,3,1,3,1,1,1,5,3,1,5,0.603574459564618,304.960603437546,0.512952773388595
"FRECHET","hclust",6,1,2,1,1,2,3,4,1,3,1,3,3,1,3,1,3,1,3,3,2,4,5,1,2,3,3,1,2,1,1,1,1,3,3,1,2,3,3,2,3,2,3,1,3,3,3,1,3,1,1,1,6,3,1,6,0.589883965054669,290.975026877368,0.512836653728308
