"","score","agility","attention","cooperation","aggressiveness","precision"
"dissMeasure",1,1,2,1,1,1
"clustMethod",1,1,2,2,3,1
"k",8,8,3,7,8,8
"clusteringResult.545a22eafd19ec4943e33996",1,1,1,1,1,1
"clusteringResult.545a37d1fd19ec4943e365ad",2,2,2,2,2,2
"clusteringResult.545a37d8fd19ec4943e36647",1,1,3,3,1,1
"clusteringResult.545a37e6fd19ec4943e36807",1,1,3,3,1,1
"clusteringResult.545a37fcfd19ec4943e36bc1",3,3,1,2,3,3
"clusteringResult.545a382dfd19ec4943e3747d",4,4,1,4,4,4
"clusteringResult.545a3895fd19ec4943e38910",3,3,2,5,5,3
"clusteringResult.545a38ebfd19ec4943e38ec5",5,5,2,3,6,5
"clusteringResult.545a3910fd19ec4943e390af",4,4,1,4,4,4
"clusteringResult.545a3974fd19ec4943e39daf",5,5,2,3,6,5
"clusteringResult.545a3a29fd19ec4943e3c91d",4,4,3,4,4,4
"clusteringResult.545a3a75fd19ec4943e3d63c",4,4,3,4,4,4
"clusteringResult.545a3abcfd19ec4943e3de1f",1,1,3,1,1,1
"clusteringResult.56152346334cf1dc03a2d0e6",4,4,1,4,4,4
"clusteringResult.5615239c334cf1dc03a2e646",5,5,2,3,6,5
"clusteringResult.561523ce334cf1dc03a2f363",4,4,1,4,4,4
"clusteringResult.561523d9334cf1dc03a2f6ff",6,1,3,1,1,1
"clusteringResult.56152412334cf1dc03a30d55",4,4,1,4,4,4
"clusteringResult.56152437334cf1dc03a31b65",4,4,3,4,4,4
"clusteringResult.56152463334cf1dc03a332aa",2,2,2,2,3,2
"clusteringResult.56152488334cf1dc03a34151",7,3,2,5,5,3
"clusteringResult.561524b0334cf1dc03a34e06",7,6,2,6,7,6
"clusteringResult.561524cb334cf1dc03a35a3b",5,5,2,3,6,5
"clusteringResult.561524e9334cf1dc03a3675d",2,2,2,2,3,2
"clusteringResult.56152503334cf1dc03a37144",4,4,1,4,4,4
"clusteringResult.5615254e334cf1dc03a397cd",4,4,3,4,4,4
"clusteringResult.56152560334cf1dc03a39fa3",1,1,3,1,1,1
"clusteringResult.56152562334cf1dc03a3a0bc",2,2,2,2,2,2
"clusteringResult.56152591334cf1dc03a3b7e9",5,5,2,3,6,5
"clusteringResult.561525d6334cf1dc03a3d877",5,5,3,3,6,5
"clusteringResult.56152fb1334cf1dc03a3fb18",5,5,3,3,6,5
"clusteringResult.5617c5c38924e2483a07c45d",1,1,2,3,1,1
"clusteringResult.5617c6cb8924e2483a07f182",4,4,3,4,4,4
"clusteringResult.5617c6e58924e2483a07fa10",6,7,3,1,1,7
"clusteringResult.5617c71e8924e2483a080b78",1,1,2,3,1,1
"clusteringResult.5617c73a8924e2483a08135f",3,2,2,2,3,2
"clusteringResult.5617c7558924e2483a081b8a",4,4,1,4,4,4
"clusteringResult.5617c7818924e2483a0825bd",6,7,2,1,1,7
"clusteringResult.5617c78d8924e2483a0829b6",2,2,2,2,2,2
"clusteringResult.5617c7a58924e2483a08315c",6,7,2,1,1,7
"clusteringResult.5617c7ea8924e2483a084b95",2,2,2,2,2,2
"clusteringResult.5617c81b8924e2483a08628b",4,4,1,4,4,4
"clusteringResult.5617c81f8924e2483a086427",1,1,3,1,1,1
"clusteringResult.5617c8218924e2483a086528",4,4,1,4,4,4
"clusteringResult.5617c83e8924e2483a086f87",6,7,3,1,1,7
"clusteringResult.5617c8598924e2483a087b63",4,4,1,4,4,4
"clusteringResult.5617c8618924e2483a0880a9",1,1,2,1,1,1
"clusteringResult.5617c87e8924e2483a088ef7",6,7,3,1,4,7
"clusteringResult.5617c8858924e2483a0891b8",1,1,3,1,1,1
"clusteringResult.5617c8a68924e2483a08a1a3",1,1,2,1,1,1
"clusteringResult.5617c8be8924e2483a08acc5",1,1,1,1,1,1
"clusteringResult.5617c8c68924e2483a08b040",8,8,2,7,8,8
"clusteringResult.561cf3818924e2483a08f28a",6,7,3,1,1,7
"clusteringResult.56d48107e87d2bca77555623",5,5,3,3,6,5
"clusteringResult.56d5b8ade87d2bca775562a2",8,8,1,7,8,8
"ASW",0.586436829680998,0.581110261497349,0.70863745446839,0.606047295028512,0.580427155610645,0.586930911220444
"CH",608.724660291335,596.207252161301,1354.35796056518,529.529160264946,510.082513348656,611.322897469687
"PH",0.389242277800932,0.397425907112749,0.42309635147452,0.436167241404083,0.442993408110504,0.398123776730425
"valRating",2.3327784485523,2.33575822320519,2.24298619679903,2.37649182990786,2.39050244384779,2.34450251413889
