"dissMeasure","clustMethod","k","clusteringResult.545a22eafd19ec4943e33996","clusteringResult.545a37d1fd19ec4943e365ad","clusteringResult.545a37d8fd19ec4943e36647","clusteringResult.545a37e6fd19ec4943e36807","clusteringResult.545a37fcfd19ec4943e36bc1","clusteringResult.545a382dfd19ec4943e3747d","clusteringResult.545a3895fd19ec4943e38910","clusteringResult.545a38ebfd19ec4943e38ec5","clusteringResult.545a3910fd19ec4943e390af","clusteringResult.545a3974fd19ec4943e39daf","clusteringResult.545a3a29fd19ec4943e3c91d","clusteringResult.545a3a75fd19ec4943e3d63c","clusteringResult.545a3abcfd19ec4943e3de1f","clusteringResult.56152346334cf1dc03a2d0e6","clusteringResult.5615239c334cf1dc03a2e646","clusteringResult.561523ce334cf1dc03a2f363","clusteringResult.561523d9334cf1dc03a2f6ff","clusteringResult.56152412334cf1dc03a30d55","clusteringResult.56152437334cf1dc03a31b65","clusteringResult.56152463334cf1dc03a332aa","clusteringResult.56152488334cf1dc03a34151","clusteringResult.561524b0334cf1dc03a34e06","clusteringResult.561524cb334cf1dc03a35a3b","clusteringResult.561524e9334cf1dc03a3675d","clusteringResult.56152503334cf1dc03a37144","clusteringResult.5615254e334cf1dc03a397cd","clusteringResult.56152560334cf1dc03a39fa3","clusteringResult.56152562334cf1dc03a3a0bc","clusteringResult.56152591334cf1dc03a3b7e9","clusteringResult.561525d6334cf1dc03a3d877","clusteringResult.56152fb1334cf1dc03a3fb18","clusteringResult.5617c5c38924e2483a07c45d","clusteringResult.5617c6cb8924e2483a07f182","clusteringResult.5617c6e58924e2483a07fa10","clusteringResult.5617c71e8924e2483a080b78","clusteringResult.5617c73a8924e2483a08135f","clusteringResult.5617c7558924e2483a081b8a","clusteringResult.5617c7818924e2483a0825bd","clusteringResult.5617c78d8924e2483a0829b6","clusteringResult.5617c7a58924e2483a08315c","clusteringResult.5617c7ea8924e2483a084b95","clusteringResult.5617c81b8924e2483a08628b","clusteringResult.5617c81f8924e2483a086427","clusteringResult.5617c8218924e2483a086528","clusteringResult.5617c83e8924e2483a086f87","clusteringResult.5617c8598924e2483a087b63","clusteringResult.5617c8618924e2483a0880a9","clusteringResult.5617c87e8924e2483a088ef7","clusteringResult.5617c8858924e2483a0891b8","clusteringResult.5617c8a68924e2483a08a1a3","clusteringResult.5617c8be8924e2483a08acc5","clusteringResult.5617c8c68924e2483a08b040","clusteringResult.561cf3818924e2483a08f28a","clusteringResult.56d48107e87d2bca77555623","clusteringResult.56d5b8ade87d2bca775562a2","ASW","CH","PH"
"FRECHET","PAM",2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0.656609807814786,92.8975699593052,0.656825461236201
"FRECHET","PAM",3,1,2,1,1,2,3,2,1,3,1,3,3,1,3,1,3,1,3,3,2,2,2,1,2,3,3,1,2,1,1,1,1,3,1,1,2,3,1,2,1,2,3,1,3,1,3,1,3,1,1,1,2,1,1,2,0.555663591438779,67.2536141724602,0.474817769322915
"FRECHET","PAM",4,1,2,1,1,2,3,2,1,3,1,3,3,1,3,1,3,1,3,3,2,2,4,1,2,3,3,1,2,1,1,1,1,3,1,1,2,3,1,2,1,2,3,1,3,1,3,1,3,1,1,1,4,1,1,4,0.632265286367988,230.10430069605,0.533807094895894
"FRECHET","PAM",5,1,2,1,1,2,3,2,4,3,4,3,3,1,3,4,3,1,3,3,2,2,5,4,2,3,3,1,2,4,4,4,1,3,1,1,2,3,1,2,1,2,3,1,3,1,3,1,3,1,1,1,5,1,4,5,0.590368118903937,220.632904631267,0.452381995055171
"FRECHET","PAM",6,1,2,1,1,2,3,4,5,3,5,3,3,1,3,5,3,1,3,3,2,4,4,5,2,3,3,1,2,5,5,5,1,3,1,1,2,3,1,2,1,2,3,1,3,1,3,1,3,1,1,1,6,1,5,6,0.61743108210502,423.777459457388,0.45449471970807
"FRECHET","PAM",7,1,2,1,1,2,3,4,5,3,5,3,3,1,3,5,3,6,3,3,2,4,4,5,2,3,3,1,2,5,5,5,1,3,6,1,2,3,6,2,6,2,3,1,3,6,3,1,6,1,1,1,7,6,5,7,0.600045835941286,440.494535188176,0.394991016962536
"FRECHET","PAM",8,1,2,1,1,3,4,3,5,4,5,4,4,1,4,5,4,6,4,4,2,7,7,5,2,4,4,1,2,5,5,5,1,4,6,1,3,4,6,2,6,2,4,1,4,6,4,1,6,1,1,1,8,6,5,8,0.586436829680998,608.724660291335,0.389242277800932
"FRECHET","hclust",2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0.656609807814786,92.8975699593052,0.656825461236201
"FRECHET","hclust",3,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,3,0.661105266043326,136.949317272456,0.698901469380894
"FRECHET","hclust",4,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,4,0.624300067396842,122.507591542006,0.697801788906359
"FRECHET","hclust",5,1,2,3,3,2,1,2,3,1,3,1,1,1,1,3,1,1,1,1,2,4,4,3,2,1,1,1,2,3,3,3,3,1,1,3,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,5,1,3,5,0.49863103937807,204.260085011798,0.526084690868303
"FRECHET","hclust",6,1,2,3,3,4,1,4,3,1,3,1,1,1,1,3,1,1,1,1,2,5,5,3,2,1,1,1,2,3,3,3,3,1,1,3,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,6,1,3,6,0.478082821720675,180.971449975749,0.518679370889047
"FRECHET","hclust",7,1,2,3,3,4,5,4,3,5,3,5,5,1,5,3,5,1,5,5,2,6,6,3,2,5,5,1,2,3,3,3,3,5,1,3,2,5,1,2,1,2,5,1,5,1,5,1,1,1,1,1,7,1,3,7,0.606894695762818,526.691636818494,0.433694872292883
"FRECHET","hclust",8,1,2,3,3,4,5,4,3,5,3,5,5,1,5,3,5,1,5,5,2,6,7,3,2,5,5,1,2,3,3,3,3,5,1,3,2,5,1,2,1,2,5,1,5,1,5,1,1,1,1,1,8,1,3,8,0.596672065383985,550.920436634252,0.433499804879657
"DTWARP","PAM",2,1,2,2,1,1,1,2,2,1,2,1,2,2,1,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,1,0.594730308079155,122.303606275004,0.465475758345326
"DTWARP","PAM",3,1,2,2,1,1,1,2,2,1,3,1,2,3,1,2,1,1,1,1,3,3,2,3,2,1,1,1,3,1,1,1,2,1,1,1,2,1,2,3,1,3,1,2,1,3,1,2,1,3,2,1,2,3,2,1,0.528189347562983,122.756909073899,0.4404526946121
"DTWARP","PAM",4,1,2,2,1,1,1,2,2,1,3,4,2,3,4,2,1,4,1,1,3,3,2,4,2,4,4,4,3,1,1,1,2,4,1,1,2,1,2,3,4,3,4,2,1,3,4,2,1,3,2,1,2,3,2,1,0.504971447741258,150.166003297369,0.382448183012101
"DTWARP","PAM",5,1,2,2,3,1,1,2,2,1,4,5,2,4,5,2,1,5,1,1,4,4,2,5,2,5,5,5,4,3,3,1,2,5,3,1,2,1,2,4,5,4,5,2,1,4,5,2,3,4,2,1,2,4,2,3,0.495384625335897,133.814779834828,0.349200984995278
"DTWARP","PAM",6,1,2,2,3,1,1,4,2,1,4,5,2,4,5,2,1,5,1,1,6,6,4,6,2,5,5,5,4,3,3,1,4,5,3,1,2,1,2,6,5,4,5,2,1,6,5,2,3,6,2,1,2,6,2,3,0.5671076872358,195.032151851201,0.353764862087412
"DTWARP","PAM",7,1,2,2,3,1,1,4,2,1,5,6,2,5,6,2,1,6,1,1,7,7,4,7,2,6,6,6,4,3,3,1,4,6,3,1,2,1,2,7,6,5,6,2,1,7,6,2,3,7,2,1,2,7,2,3,0.600657661760484,208.041990365458,0.352762931575565
